,budget,popularity,runtime,revenue,revenue_M,budget_M,belongs_to_collection_size,cast_size,crew_size,flg_homepage,flg_belongs_to_collection_size,genres_Adventure,actors_Tyrese Gibson,movie_Director_Peter Jackson
0,14000000,6.575392999999999,93.0,12314651,12.31,14.0,1,24.0,72.0,0,1,0,0,0
1,40000000,8.248895,113.0,95149435,95.15,40.0,1,20.0,9.0,0,1,0,0,0
2,3300000,64.29999000000001,105.0,13092000,13.09,3.3,0,51.0,64.0,1,0,0,0,0
3,1200000,3.174936,122.0,16000000,16.0,1.2,0,7.0,3.0,1,0,0,0,0
4,0,1.1480700000000001,118.0,3923970,3.92,0.0,0,4.0,2.0,0,0,0,0,0
5,8000000,0.743274,83.0,3261638,3.26,8.0,0,4.0,11.0,0,0,1,0,0
6,14000000,7.2864770000000005,92.0,85446075,85.45,14.0,0,14.0,77.0,1,0,0,0,0
7,0,1.9490439999999998,84.0,2586511,2.59,0.0,0,4.0,1.0,0,0,0,0,0
8,0,6.902423,100.0,34327391,34.33,0.0,1,12.0,8.0,0,1,1,0,0
9,6000000,4.672036,91.0,18750246,18.75,6.0,0,20.0,11.0,0,0,0,0,0
10,1000000,14.774066,119.0,117235147,117.24,1.0,1,37.0,31.0,0,1,0,0,0
11,0,10.54375,98.0,22642033,22.64,0.0,1,14.0,2.0,0,1,0,0,0
12,15000000,20.726578,122.0,356296601,356.3,15.0,0,40.0,109.0,1,0,0,0,0
13,53000000,13.314232999999998,118.0,95226116,95.23,53.0,1,59.0,18.0,0,1,0,0,0
14,102000000,20.666063,145.0,358372926,358.37,102.0,0,23.0,156.0,0,0,0,0,0
15,500000,1.018477,97.0,198,0.0,0.5,0,13.0,25.0,1,0,0,0,0
16,26000000,6.336926999999999,85.0,57891803,57.89,26.0,0,24.0,35.0,0,0,0,0,0
17,0,4.1835580000000006,111.0,1234254,1.23,0.0,0,19.0,31.0,0,0,0,0,0
18,8000000,6.496258999999999,96.0,1749457,1.75,8.0,0,23.0,2.0,0,0,0,0,0
19,32000000,11.359658999999999,87.0,85167639,85.17,32.0,1,10.0,17.0,0,1,0,0,0
20,80000000,12.000579,130.0,136159423,136.16,80.0,0,20.0,120.0,0,0,1,0,0
21,4000000,7.99229,95.0,36690067,36.69,4.0,1,16.0,11.0,0,1,0,0,0
22,0,7.820786999999999,116.0,100345,0.1,0.0,1,30.0,19.0,1,1,0,0,0
23,0,1.323333,92.0,17011,0.02,0.0,0,19.0,10.0,1,0,0,0,0
24,0,7.434577,87.0,4947717,4.95,0.0,0,13.0,10.0,1,0,0,0,0
25,0,1.252367,95.0,8403433,8.4,0.0,0,15.0,14.0,0,0,0,0,0
26,10000000,4.305734999999999,110.0,13835130,13.84,10.0,0,6.0,18.0,0,0,0,0,0
27,11000000,10.841891,93.0,7847000,7.85,11.0,0,24.0,15.0,0,0,0,0,0
28,6000000,6.759181,84.0,5849647,5.85,6.0,0,33.0,18.0,0,0,0,0,0
29,45000000,7.81862,89.0,94935764,94.94,45.0,0,11.0,8.0,0,0,1,0,0
30,13000000,16.086919,112.0,426480871,426.48,13.0,0,32.0,34.0,0,0,0,0,0
31,0,5.69586,117.0,36000000,36.0,0.0,0,14.0,18.0,1,0,0,0,0
32,90000000,13.412445000000002,106.0,146936910,146.94,90.0,0,22.0,92.0,1,0,1,0,0
33,0,8.254856,125.0,7171,0.01,0.0,1,31.0,59.0,0,1,0,0,0
34,140000000,9.718111,91.0,258022233,258.02,140.0,1,18.0,18.0,0,1,0,0,0
35,30000000,8.234382,94.0,40346186,40.35,30.0,0,15.0,34.0,1,0,0,0,0
36,0,2.100499,105.0,151559,0.15,0.0,0,15.0,2.0,0,0,0,0,0
37,50000000,13.676444,127.0,189859560,189.86,50.0,0,14.0,13.0,0,0,0,0,0
38,0,0.32926,90.0,92100,0.09,0.0,0,5.0,2.0,1,0,0,0,0
39,3800000,3.055936,123.0,14873,0.01,3.8,0,14.0,12.0,0,0,0,0,0
